date,time,latitude,longitude,depth,mag,type,landmark,region
2019-03-28,18:57:03.360000,36.7611656,-121.5968323,0.99,1.47,earthquake,Prunedale,CA
2019-03-28,18:53:05.030000,33.5006667,-116.799,3.91,0.84,earthquake,Aguanga,CA
2019-03-28,18:52:56.040000,33.3648333,-117.3561667,0.34,1.38,earthquake,Camp Pendleton North,CA
2019-03-28,18:42:17.190000,33.6515,-117.1223333,-0.54,0.62,quarry blast,Winchester,CA
2019-03-28,18:38:12.394000,61.7017,-149.7719,40.2,0.8,earthquake,Houston,Alaska
2019-03-28,18:29:24.770000,38.8378334,-122.8233337,0.73,1.32,earthquake,Cobb,CA
2019-03-28,18:29:04.710000,38.8364983,-122.8270035,1.33,0.89,earthquake,The Geysers,CA
2019-03-28,18:12:28.690000,38.8160019,-122.8213348,2.62,1.76,earthquake,The Geysers,CA
2019-03-28,18:10:20.850000,33.4871667,-116.794,4.26,1,earthquake,Aguanga,CA
2019-03-28,16:27:20.480000,38.8366661,-122.7955017,1.64,0.5,earthquake,Cobb,CA
2019-03-28,16:20:16.950000,34.0741667,-117.4895,3.45,0.99,earthquake,Fontana,CA
2019-03-28,16:15:47.390000,38.7949982,-122.7513351,0.48,1.95,earthquake,The Geysers,CA
2019-03-28,15:39:46.310000,36.8768349,-121.2985001,12.04,1.35,earthquake,Ridgemark,CA
2019-03-28,15:36:05.030000,38.8361664,-122.8268356,2.05,1.14,earthquake,The Geysers,CA
2019-03-28,15:25:36.870000,37.5803,-114.4288,10.5,1.3,earthquake,Caliente,Nevada
2019-03-28,15:19:22.860000,34.0643333,-117.4933333,3.61,1.01,earthquake,Fontana,CA
2019-03-28,15:07:57.980000,38.8260002,-122.8050003,2.53,0.55,earthquake,The Geysers,CA
2019-03-28,14:59:59.220000,17.961,-66.1666,15,1.56,earthquake,Jobos,Puerto Rico
2019-03-28,14:36:29.660000,37.6353333,-119.0491667,-0.12,0.13,earthquake,Mammoth Lakes,CA
2019-03-28,14:24:04.660000,17.954,-66.1685,15,1.19,earthquake,Jobos,Puerto Rico
2019-03-28,14:10:23.420000,34.073,-117.4936667,3.32,0.84,earthquake,Fontana,CA
2019-03-28,14:03:48.640000,32.9508333,-115.5348333,10.62,1.26,earthquake,Brawley,CA
2019-03-28,13:46:46.490000,33.7256667,-116.833,15.54,0.97,earthquake,Valle Vista,CA
2019-03-28,13:33:30.580000,17.9898,-66.7006,12,1.73,earthquake,Tallaboa,Puerto Rico
2019-03-28,13:13:27.850000,38.8248329,-122.7894974,0.64,0.57,earthquake,Cobb,CA
2019-03-28,12:58:16.940000,35.0903333,-118.3603333,7.69,1.09,earthquake,Tehachapi,CA
2019-03-28,12:53:07.650000,34.2183333,-117.0036667,5.46,1.1,earthquake,Big Bear Lake,CA
2019-03-28,12:50:53.180000,36.8089981,-121.5463333,3.61,1.51,earthquake,San Juan Bautista,CA
2019-03-28,12:10:47.340000,38.8361664,-122.800499,2.41,0.56,earthquake,Cobb,CA
2019-03-28,11:48:31.660000,38.8154984,-122.8079987,3.3,0.55,earthquake,The Geysers,CA
2019-03-28,11:45:58.823000,61.4981,-149.9224,34.8,1.7,earthquake,Big Lake,Alaska
2019-03-28,11:32:52.520000,34.0723333,-117.4955,3.23,0.82,earthquake,Fontana,CA
2019-03-28,10:34:02.480000,34.0736667,-117.4915,3.33,0.69,earthquake,Fontana,CA
2019-03-28,10:23:06.550000,34.0743333,-117.4886667,3.54,2.15,earthquake,Fontana,CA
2019-03-28,10:19:09.840000,38.8176651,-122.8228302,1.82,0.88,earthquake,The Geysers,CA
2019-03-28,10:16:10.490000,38.8361664,-122.8268356,1.74,1.04,earthquake,The Geysers,CA
2019-03-28,10:10:13.373000,61.4926,-149.9352,32.5,1.5,earthquake,Big Lake,Alaska
2019-03-28,09:56:11.190000,33.6041667,-116.7248333,4.62,0.05,earthquake,Anza,CA
2019-03-28,09:33:56.050000,19.4195004,-155.2799988,-0.59,1.83,earthquake,Volcano,Hawaii
2019-03-28,09:26:52.780000,19.4178333,-154.8630066,2.21,2.32,earthquake,Leilani Estates,Hawaii
2019-03-28,08:55:25.050000,37.6433333,-119.0693333,-0.04,-0.2,earthquake,Mammoth Lakes,CA
2019-03-28,08:44:40.910000,37.634,-118.8753333,5.06,0.31,earthquake,Mammoth Lakes,CA
2019-03-28,08:21:58.600000,34.0741667,-117.4901667,3.97,0.87,earthquake,Fontana,CA
2019-03-28,08:09:35.630000,34.1121667,-117.4298333,7.37,0.85,earthquake,Fontana,CA
2019-03-28,07:59:07.350000,38.7868347,-122.7753296,1.8,2.75,earthquake,The Geysers,CA
2019-03-28,07:54:54.040000,38.8273315,-122.8348312,3.37,0.97,earthquake,The Geysers,CA
2019-03-28,07:51:12.540000,38.8136673,-122.8046646,1.96,1.98,earthquake,The Geysers,CA
2019-03-28,07:47:58.340000,34.113,-117.4283333,7.36,1.3,earthquake,Fontana,CA
2019-03-28,07:35:07.090000,38.8115005,-122.7888336,2.6,0.55,earthquake,The Geysers,CA
2019-03-28,07:34:33.830000,38.786499,-122.7753296,2.69,0.56,earthquake,The Geysers,CA
2019-03-28,07:33:58.800000,38.7876663,-122.7740021,1.59,2.46,earthquake,The Geysers,CA
2019-03-28,07:30:57.390000,18.4346,-66.5865,125,2.74,earthquake,Sabana Hoyos,Puerto Rico
2019-03-28,06:35:36.110000,38.7898331,-122.7771683,2.01,1.4,earthquake,The Geysers,CA
2019-03-28,06:34:14.530000,38.786335,-122.7741699,0.97,3.16,earthquake,The Geysers,CA
2019-03-28,06:11:22.588000,61.4739,-149.9382,35.7,1.4,earthquake,Big Lake,Alaska
2019-03-28,06:05:20.030000,33.9878333,-116.6528333,18.24,0.91,earthquake,Morongo Valley,CA
2019-03-28,05:49:15.100000,34.0658333,-117.4995,3.71,0.79,earthquake,Fontana,CA
2019-03-28,05:47:04.390000,38.8183327,-122.8078308,3.08,0.55,earthquake,The Geysers,CA
2019-03-28,05:40:37.267000,61.5608,-149.7976,38.3,1.8,earthquake,Houston,Alaska
2019-03-28,05:04:22.490000,38.8120003,-122.821167,2.65,0.56,earthquake,The Geysers,CA
2019-03-28,04:57:41.860000,37.5798333,-118.721,10.82,0.75,earthquake,Toms Place,CA
2019-03-28,04:28:47.100000,38.8170013,-122.80867,2.83,1.16,earthquake,The Geysers,CA
2019-03-28,04:27:39.122000,61.5008,-149.7608,34.2,1,earthquake,Knik-Fairview,Alaska
2019-03-28,04:25:58.660000,38.8180008,-122.8088303,2.91,0.88,earthquake,The Geysers,CA
2019-03-28,04:23:04.680000,34.0668333,-117.4923333,3.59,0.69,earthquake,Fontana,CA
2019-03-28,04:17:42.260000,33.2288333,-116.7731667,12.24,0.53,earthquake,Lake Henshaw,CA
2019-03-28,04:12:12.310000,38.815834,-122.8083344,3.08,0.81,earthquake,The Geysers,CA
2019-03-28,04:11:41.890000,38.8170013,-122.8081665,2.95,2.3,earthquake,The Geysers,CA
2019-03-28,04:08:44.360000,38.784832,-122.7336655,1.62,0.5,earthquake,The Geysers,CA
2019-03-28,03:45:12.340000,33.4803333,-116.789,4.52,0.72,earthquake,Aguanga,CA
2019-03-28,03:36:45.510000,34.0641667,-117.4873333,4.75,0.77,earthquake,Fontana,CA
2019-03-28,03:15:44.720000,33.2361667,-116.7726667,12.36,1.18,earthquake,Lake Henshaw,CA
2019-03-28,03:10:17.470000,38.8055,-122.7223358,1.58,0.76,earthquake,Cobb,CA
2019-03-28,02:50:35.250000,33.4896667,-116.791,3.92,1.03,earthquake,Aguanga,CA
2019-03-28,02:45:16.230000,19.3500004,-155.2151642,4.99,1.83,earthquake,Volcano,Hawaii
2019-03-28,02:45:14.290000,38.8359985,-122.7945023,1.88,0.69,earthquake,Cobb,CA
2019-03-28,02:40:31.760000,38.8165016,-122.8270035,1.94,0.56,earthquake,The Geysers,CA
2019-03-28,01:56:53.010000,37.7373352,-122.1425018,3.23,1.75,earthquake,San Leandro,CA
2019-03-28,01:54:08.532000,61.4892,-149.9066,32.6,1.7,earthquake,Big Lake,Alaska
2019-03-28,01:40:08.020000,-12.8251,45.3544,10,4.6,earthquake,Pamandzi,Mayotte
2019-03-28,01:34:02.610000,34.0653333,-117.4901667,4.3,0.98,earthquake,Fontana,CA
2019-03-28,01:31:18.730000,34.065,-117.4928333,4.49,1,earthquake,Fontana,CA
2019-03-28,01:26:46.330000,38.8236656,-122.7876663,1.5,0.55,earthquake,Cobb,CA
2019-03-28,01:14:45.150000,38.8241653,-122.8006668,3.47,0.55,earthquake,The Geysers,CA
2019-03-28,01:06:22.360000,38.8221664,-122.8096695,0.93,0.81,earthquake,The Geysers,CA
2019-03-28,00:36:04.690000,33.4936667,-116.7878333,4.5,0.25,earthquake,Aguanga,CA
2019-03-28,00:32:35.230000,33.6643333,-116.7401667,14.37,1.22,earthquake,Idyllwild,CA
2019-03-28,00:27:15.830000,37.4235,-118.5478333,11,0.84,earthquake,Round Valley,CA
2019-03-28,00:25:43.300000,19.419,-155.278,-0.08,1.6,earthquake,Volcano,Hawaii
2019-03-27,23:57:53.380000,37.633,-119.0458333,-0.51,0.2,earthquake,Mammoth Lakes,CA
2019-03-27,23:51:05.170000,38.7973328,-122.7685013,0.41,0.71,earthquake,The Geysers,CA
2019-03-27,23:39:27.330000,33.3346667,-117.1415,-0.44,1.52,quarry blast,Pala,CA
2019-03-27,23:33:29.770000,33.929,-116.8051667,18.35,1.9,earthquake,Cabazon,CA
2019-03-27,22:51:05.950000,36.5793333,-121.1811667,8.56,0.92,earthquake,Pinnacles,CA
2019-03-27,22:46:28.190000,14.5226,-90.6562,5,4.1,earthquake,Magdalena Milpas Altas,Guatemala
2019-03-27,22:27:18.310000,33.491,-116.7896667,4.88,0.75,earthquake,Aguanga,CA
2019-03-27,22:13:24.310000,38.7843323,-122.7558365,1.36,0.78,earthquake,The Geysers,CA
2019-03-27,21:55:43.080000,33.3783333,-116.8371667,9.7,0.38,earthquake,Palomar Observatory,CA
2019-03-27,21:11:40.330000,37.6316667,-119.0546667,-0.05,0.52,earthquake,Mammoth Lakes,CA
2019-03-27,21:10:36.590000,49.4316666666667,-120.514,-0.68,2.45,explosion,Princeton,Canada
2019-03-27,20:56:50.030000,33.4893333,-116.7898333,3.72,0.56,earthquake,Aguanga,CA
2019-03-27,20:44:59.090000,37.6126667,-119.0165,1.38,0.52,earthquake,Mammoth Lakes,CA
2019-03-27,20:41:33.370000,33.492,-116.7906667,4.58,0.49,earthquake,Aguanga,CA
2019-03-27,20:41:20.850000,33.4948333,-116.791,3.76,0.46,earthquake,Aguanga,CA
2019-03-27,20:38:39.700000,33.4915,-116.7936667,4.15,0.75,earthquake,Aguanga,CA
2019-03-27,20:26:08.780000,40.341,-124.1866667,32.01,2.05,earthquake,Petrolia,CA
2019-03-27,20:13:50.690000,38.7994995,-122.7348328,0.59,0.91,earthquake,Cobb,CA
2019-03-27,20:11:16.540000,38.8351667,-122.8271667,1.53,1.61,earthquake,The Geysers,CA
2019-03-27,20:10:45.340000,38.8056679,-122.8136673,3.42,0.85,earthquake,The Geysers,CA
2019-03-27,20:02:39.130000,37.3243333,-122.104,-0.26,1.16,quarry blast,Loyola,CA
2019-03-27,20:01:55.610000,33.4875,-116.7918333,5.47,1.17,earthquake,Aguanga,CA
2019-03-27,19:40:51.460000,38.8223343,-122.7666702,5.08,0.56,earthquake,Cobb,CA
2019-03-27,19:13:32.030000,33.2346667,-116.7691667,12.94,0.86,earthquake,Lake Henshaw,CA
2019-03-27,19:03:56.360000,38.8055,-122.7776642,0.99,1.09,earthquake,The Geysers,CA
2019-03-27,19:00:26.860000,38.8383331,-122.7833328,1.14,0.72,earthquake,Cobb,CA
2019-03-27,18:50:44.540000,38.8378334,-122.831337,-0.64,0.57,earthquake,The Geysers,CA
2019-03-27,18:47:07.030000,38.8125,-122.8246689,2.19,1.08,earthquake,The Geysers,CA
2019-03-27,18:17:39.650000,35.1081,-97.9118,9.2,2.8,earthquake,Chickasha,Oklahoma
2019-03-27,18:04:59.440000,33.4941667,-116.7953333,2.75,0.15,earthquake,Aguanga,CA
2019-03-27,17:26:51.680000,34.0606667,-117.4965,3.35,0.69,earthquake,Fontana,CA
2019-03-27,17:21:59.969000,61.4991,-149.95,32.6,1.3,earthquake,Big Lake,Alaska
